CLOSED
Version	0.4
Run	717
Instrument	2950 TGA       V5.4A
Module	TGA 1000 øC
Sample	CuSO4*5H2O standard slow
Size	8.07900	mg
Method	
Operator	AE
Comment	CuSO4*5H2O standard at 1C/min for calibration
Xcomment	Pan: Platinum           Gas1: Nitrogen  20          Gas2: Nitrogen  30
Text
Kcell	1.00000
TempCal	2	pts	24.15	22.00,	374.82	354.00
Thresholds	0.050	0.0000
Controls	Gas 1  Event Off  Sampling 2.0 sec/pt
Nsig	3
Sig1	Time (min)
Sig2	Temperature (øC)
Sig3	Weight (mg)
Date	21-May-19
Time	17:52
File	C:\TA\Data\TGA\Angela\Cannabinoids\CuSO4_5H2O_Ref_1C_min_052119.001
OrgFile	C:\TA\Data\TGA\Angela\Cannabinoids\CuSO4_5H2O_Ref_1C_min_052119.001
16.97117 43.47258 7.870513
17.00450 43.50634 7.868425
17.03750 43.53842 7.866531
17.07100 43.57138 7.864702
17.10434 43.60650 7.863056
17.13766 43.63913 7.861584
17.17100 43.67317 7.860010
17.20434 43.70674 7.858189
17.23783 43.73947 7.856111
17.27116 43.77428 7.854194
17.30450 43.80892 7.852472
17.33750 43.83814 7.850724
17.37100 43.86938 7.849170
17.40434 43.90408 7.847541
17.43766 43.93848 7.845891
17.47100 43.97012 7.843993
17.50434 44.00311 7.841852
17.53766 44.03701 7.839840
17.57117 44.07074 7.837939
17.60450 44.10500 7.836182
17.63750 44.13774 7.834390
17.67100 44.17040 7.832631
17.70434 44.20506 7.830703
17.73767 44.23848 7.828769
17.77100 44.26988 7.826775
17.80434 44.30308 7.824749
17.83783 44.33894 7.822907
17.87117 44.37030 7.820976
17.90450 44.40313 7.819056
17.93750 44.43785 7.817343
17.97100 44.47179 7.815466
18.00434 44.50317 7.813645
18.03766 44.53800 7.811811
18.07100 44.57309 7.809903
18.10450 44.60469 7.807954
18.13783 44.63663 7.806070
18.17117 44.67309 7.803881
18.20416 44.70512 7.801788
18.23767 44.73516 7.800000
18.27100 44.76796 7.798081
18.30434 44.80406 7.796174
18.33767 44.83754 7.794256
18.37100 44.86867 7.792304
18.40450 44.90216 7.790204
18.43784 44.93768 7.787995
18.47117 44.97153 7.786165
18.50417 45.00406 7.784520
18.53766 45.03700 7.782758
18.57100 45.07281 7.780728
18.60434 45.10372 7.778612
18.63766 45.13600 7.776493
18.67100 45.16922 7.774306
